"","q_code","age","sex","occ_status","income","education","fam_w_jeep","w_driver_rel","attitude","opinion","cluster"
"1",1,52,1,2,1,5,1,1,"1","1",1
"2",2,53,1,1,3,5,0,0,"2","1",2
"3",3,67,1,6,1,5,1,0,"3","4",3
"4",4,52,1,3,-99,5,0,0,"2","3",2
"5",5,49,0,2,3,10,0,0,"3","4",3
"6",6,67,1,2,5,10,0,1,"1","1",1
"7",7,32,0,2,1,6,1,0,"2","1",2
"8",8,45,0,1,2,10,0,0,"2","5",2
"9",9,47,0,1,2,11,1,0,"1","1",1
"10",10,33,0,1,2,5,0,0,"1","3",1
"11",11,40,1,2,3,3,0,1,"1","4",1
"12",12,32,1,1,3,10,1,1,"2","2",2
"13",13,30,0,3,-99,6,1,0,"2","1",2
"14",14,35,0,1,1,6,1,0,"1","1",1
"15",15,52,0,3,-99,11,1,0,"2","1",2
"16",16,50,0,2,2,5,0,0,"2","2",2
"17",17,18,1,4,-99,7,1,0,"3","1",3
"18",18,25,1,1,6,11,1,0,"3","2",3
"19",20,65,0,3,-99,11,1,0,"2","2",2
"20",21,31,0,1,4,11,0,0,"2","1",2
"21",22,35,0,1,4,10,1,0,"2","2",2
"22",23,30,0,1,2,5,1,1,"3","4",3
"23",24,64,0,3,-99,5,0,0,"3","1",3
"24",25,54,1,2,2,8,1,0,"3","1",3
"25",26,55,1,3,-99,3,0,0,"3","2",3
"26",27,40,0,3,-99,7,1,0,"1","1",1
"27",28,26,0,1,2,11,1,0,"3","4",3
"28",29,51,1,2,-98,4,1,0,"1","4",1
"29",30,39,1,3,-99,11,1,0,"2","1",2
"30",31,66,0,3,-99,11,1,0,"1","2",1
"31",32,22,1,3,-99,10,1,0,"2","3",2
"32",33,53,0,1,4,14,1,0,"2","5",2
"33",34,49,0,2,3,6,1,1,"3","1",3
"34",35,35,0,3,-99,7,1,0,"1","1",1
"35",36,71,0,1,3,12,0,0,"1","2",1
"36",37,64,0,1,1,7,1,0,"2","1",2
"37",38,56,1,1,5,11,1,0,"1","4",1
"38",39,40,0,2,2,7,1,0,"1","5",1
"39",40,71,0,6,1,5,1,0,"1","1",1
"40",41,40,0,2,2,7,1,0,"2","1",2
"41",42,23,1,1,3,11,1,0,"1","5",1
"42",43,53,1,2,2,8,1,0,"1","3",1
"43",44,50,0,2,1,6,1,0,"2","2",2
"44",45,48,1,3,-99,8,1,0,"3","4",3
"45",46,19,1,4,-99,6,1,0,"2","5",2
"46",47,44,0,3,-99,10,1,1,"2","5",2
"47",48,73,1,6,-97,5,0,1,"1","4",1
"48",49,46,0,3,-99,11,1,1,"1","2",1
"49",50,43,0,1,1,6,1,1,"1","4",1
"50",51,65,1,6,-97,6,1,0,"1","3",1
"51",52,36,0,2,1,11,1,0,"2","1",2
"52",53,62,0,2,1,10,1,0,"2","3",2
"53",54,31,1,1,4,11,1,0,"1","1",1
"54",55,56,0,3,-99,10,1,1,"1","1",1
"55",56,59,0,3,-99,5,1,0,"1","2",1
"56",57,46,1,3,-99,10,1,0,"1","5",1
"57",58,68,1,2,1,5,0,1,"1","2",1
"58",59,40,0,1,2,10,1,0,"1","5",1
"59",60,29,1,1,1,4,1,0,"1","4",1
"60",61,62,0,1,3,5,0,1,"1","4",1
"61",62,64,0,2,2,5,1,0,"2","1",2
"62",64,62,0,3,-99,10,1,0,"3","3",3
"63",65,52,1,2,2,8,1,0,"1","1",1
"64",66,50,0,1,2,11,1,1,"2","4",2
"65",67,42,0,2,2,5,1,0,"2","3",2
"66",68,42,0,3,-99,5,0,1,"2","1",2
"67",69,30,1,3,-99,5,1,0,"3","1",3
"68",70,42,1,2,2,8,1,0,"2","1",2
"69",71,41,1,1,1,9,1,0,"1","1",1
"70",72,35,1,2,2,8,1,0,"2","1",2
"71",73,26,1,4,-99,12,0,0,"2","4",2
"72",74,21,0,4,-99,10,1,0,"3","5",3
"73",75,21,1,4,-99,10,1,0,"2","2",2
"74",76,57,0,2,3,6,1,1,"3","1",3
"75",77,61,1,2,1,6,1,0,"1","4",1
"76",78,21,1,4,-99,10,1,0,"3","2",3
"77",79,26,1,4,-99,7,1,1,"2","2",2
"78",81,68,0,6,1,3,1,0,"3","4",3
"79",83,76,0,6,1,6,1,0,"1","1",1
"80",84,45,1,2,3,10,1,0,"2","1",2
"81",85,38,0,2,1,8,1,1,"3","5",3
"82",86,51,0,2,1,5,0,1,"3","1",3
"83",87,63,1,2,2,6,1,0,"3","5",3
"84",90,42,1,1,2,11,1,1,"3","2",3
"85",91,31,1,5,4,12,1,0,"2","5",2
"86",92,54,1,2,2,7,1,0,"3","2",3
"87",93,63,1,6,-97,10,1,0,"2","2",2
"88",94,55,0,2,1,10,1,0,"3","2",3
"89",95,51,0,2,2,5,1,0,"3","2",3
"90",96,56,1,3,-99,5,0,1,"3","5",3
"91",97,47,1,1,4,11,1,1,"3","5",3
"92",98,58,1,2,2,4,0,0,"3","1",3
"93",99,41,1,2,3,9,1,1,"1","2",1
"94",100,58,1,3,-99,10,0,0,"1","1",1
"95",101,26,0,2,2,11,1,0,"3","2",3
"96",106,23,0,1,4,12,1,0,"2","5",2
"97",107,24,0,4,-99,7,0,0,"2","2",2
"98",108,34,1,3,-99,8,1,0,"2","1",2
"99",109,52,0,3,-99,6,1,0,"3","2",3
"100",110,27,0,2,3,11,1,0,"2","2",2
"101",111,24,0,1,3,12,1,0,"2","2",2
"102",112,54,0,3,-99,5,1,0,"3","5",3
"103",113,22,1,4,-99,10,1,0,"2","2",2
"104",114,64,0,1,1,5,1,1,"2","1",2
"105",115,29,0,1,1,11,0,0,"2","1",2
"106",116,60,1,1,2,6,1,0,"1","3",1
"107",117,75,0,3,-99,6,1,0,"1","4",1
"108",118,83,0,3,-99,6,1,0,"1","4",1
"109",119,57,1,3,-99,5,1,1,"1","1",1
"110",120,57,1,1,2,5,1,0,"3","2",3
"111",121,42,1,1,1,3,1,1,"1","5",1
"112",122,36,1,1,3,11,1,0,"3","4",3
"113",123,30,1,1,3,11,1,0,"2","1",2
"114",124,58,0,2,1,6,1,0,"3","1",3
"115",125,57,0,3,-99,5,1,0,"2","3",2
"116",126,63,1,1,3,7,1,0,"1","2",1
"117",127,26,1,1,2,11,1,0,"2","3",2
"118",128,67,1,2,1,6,0,0,"1","1",1
"119",129,26,1,5,3,12,1,0,"1","5",1
"120",130,21,1,4,-99,10,0,0,"2","4",2
"121",131,60,0,1,1,6,1,1,"1","4",1
"122",132,45,1,1,-98,11,1,0,"2","4",2
"123",133,33,0,1,2,12,1,1,"2","5",2
"124",134,48,0,2,2,6,1,0,"1","1",1
"125",135,43,0,3,-99,5,1,0,"1","1",1
"126",136,49,0,1,2,8,1,0,"2","1",2
"127",137,45,0,2,3,10,1,1,"2","1",2
"128",138,23,1,2,-98,10,1,1,"3","2",3
"129",139,43,1,1,1,10,1,0,"1","3",1
"130",140,52,0,6,1,11,1,0,"1","4",1
"131",141,61,0,1,2,11,1,0,"1","1",1
"132",142,20,0,4,-99,10,1,0,"1","5",1
"133",143,20,0,4,-99,7,0,0,"3","2",3
"134",144,43,0,3,-99,8,0,0,"1","4",1
"135",146,29,1,1,3,11,1,0,"1","2",1
"136",147,58,1,1,7,11,0,0,"1","4",1
"137",148,38,0,1,3,7,1,0,"1","1",1
"138",149,20,0,4,-99,7,1,0,"2","1",2
"139",150,55,1,2,1,10,0,0,"1","1",1
"140",153,34,0,3,-99,6,0,0,"2","1",2
"141",154,24,1,1,2,11,1,0,"2","1",2
"142",155,49,0,3,-99,10,0,0,"1","3",1
"143",157,49,0,1,1,6,0,0,"2","1",2
"144",158,18,1,2,-98,7,0,0,"1","2",1
"145",159,37,0,1,3,11,1,1,"3","4",3
"146",160,27,1,1,2,11,1,0,"1","2",1
"147",161,43,1,1,2,10,1,1,"1","1",1
"148",163,42,0,2,2,8,1,0,"2","1",2
"149",164,67,0,1,2,10,1,0,"1","1",1
"150",166,19,1,3,-99,10,1,0,"3","2",3
"151",167,47,0,2,-98,6,1,0,"1","1",1
"152",168,60,0,2,1,5,1,0,"3","2",3
"153",169,57,1,2,-98,10,1,0,"2","1",2
"154",170,23,0,1,2,11,1,0,"2","2",2
"155",171,47,0,2,2,11,1,0,"2","1",2
"156",172,56,0,1,1,6,1,0,"2","1",2
"157",173,34,0,1,3,11,1,1,"2","5",2
"158",174,48,1,1,3,10,1,0,"1","2",1
"159",175,50,0,3,-99,6,0,0,"1","1",1
"160",176,26,1,1,3,11,1,0,"2","1",2
"161",178,27,1,2,2,11,1,0,"3","5",3
"162",180,38,0,1,3,11,1,0,"2","1",2
"163",181,19,1,4,-99,10,1,0,"1","5",1
"164",183,27,1,1,1,8,1,0,"3","2",3
"165",184,59,1,1,3,11,1,0,"1","4",1
"166",185,41,0,3,-99,5,1,0,"2","1",2
"167",186,21,1,4,-99,10,0,0,"1","2",1
"168",187,19,1,5,1,7,1,0,"1","5",1
"169",188,55,0,2,1,6,1,0,"3","4",3
"170",189,24,1,1,3,11,0,0,"3","2",3
"171",190,47,1,1,3,11,1,0,"2","1",2
"172",193,28,0,1,2,11,1,1,"2","4",2
"173",195,41,0,2,7,10,1,0,"3","1",3
"174",197,35,0,3,-99,4,1,0,"1","4",1
"175",198,54,0,2,2,9,1,0,"1","4",1
"176",199,21,0,4,-99,10,1,0,"2","2",2
"177",201,31,0,1,3,11,1,0,"1","5",1
"178",203,18,1,4,-99,10,1,0,"2","5",2
"179",204,60,0,2,2,6,1,0,"1","3",1
"180",205,33,1,1,2,8,1,0,"2","2",2
"181",206,44,0,2,1,5,0,0,"3","3",3
"182",207,56,0,2,1,5,1,0,"2","2",2
"183",208,43,0,2,1,5,1,1,"1","3",1
"184",209,21,0,1,1,7,1,0,"2","1",2
"185",210,25,1,3,-99,11,0,0,"2","3",2
"186",211,21,0,4,-99,7,1,0,"2","5",2
"187",212,45,1,2,-98,11,1,0,"3","2",3
"188",213,47,0,2,1,10,1,0,"1","1",1
"189",214,30,0,1,-98,11,0,0,"1","3",1
"190",215,68,0,6,2,11,0,0,"3","4",3
"191",216,19,0,4,-99,10,1,0,"2","3",2
